# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Yaw	Pitch	Roll	Error (m)	X error	Y error	Z error	Error (deg)	Yaw error	Pitch error	Roll error	X est	Y est	Z est	Yaw est	Pitch est	Roll est
dji_0111.jpg	-73.625825	3.864095	45.700000				1.064227	-0.778515	0.217342	0.692284					-73.625832	3.864097	46.392284	297.307683	44.924556	-0.868608
dji_0112.jpg	-73.625824	3.864093	45.800000				0.899455	-0.654464	0.293692	0.542624					-73.625830	3.864096	46.342624	292.942438	59.013889	-1.651257
dji_0113.jpg	-73.625822	3.864147	45.800000				0.814778	-0.638688	-0.137323	0.486912					-73.625827	3.864146	46.286912	261.714510	58.574283	-2.508822
dji_0114.jpg	-73.625839	3.864184	45.800000				0.863729	-0.724671	-0.295455	0.365494					-73.625845	3.864182	46.165494	242.494328	58.342985	-2.149260
dji_0115.jpg	-73.625864	3.864210	45.500000				0.990374	-0.773026	-0.019817	0.618772					-73.625871	3.864210	46.118772	226.858265	58.791653	-1.188268
dji_0116.jpg	-73.625896	3.864269	45.700000				0.987306	-0.449429	-0.569847	0.669374					-73.625900	3.864264	46.369374	202.279173	58.967200	1.932109
dji_0117.jpg	-73.625932	3.864302	45.900000				1.187618	-0.148485	-0.898493	0.762299					-73.625933	3.864293	46.662299	188.098540	58.958888	1.888178
dji_0118.jpg	-73.625968	3.864275	45.800000				1.020525	0.132462	-0.818051	0.595582					-73.625967	3.864268	46.395582	163.697005	58.980656	0.962372
dji_0119.jpg	-73.626036	3.864234	45.500000				1.132126	0.554526	-0.823314	0.544393					-73.626031	3.864227	46.044393	127.572807	59.001747	0.949171
dji_0120.jpg	-73.626051	3.864190	45.500000				0.968285	0.734381	-0.319705	0.544104					-73.626044	3.864187	46.044104	118.033385	59.278148	1.057149
dji_0121.jpg	-73.626057	3.864160	45.500000				0.962115	0.861576	-0.175540	0.390561					-73.626049	3.864158	45.890561	90.169101	59.357419	0.389760
dji_0122.jpg	-73.626051	3.864130	45.600000				0.761525	0.758597	0.051423	0.042498					-73.626044	3.864130	45.642498	78.050636	59.533316	0.685721
dji_0123.jpg	-73.626043	3.864107	45.600000				0.726300	0.703453	0.139998	0.114307					-73.626037	3.864108	45.714307	67.473669	59.836755	1.011065
dji_0124.jpg	-73.626022	3.864077	45.500000				0.728614	0.599470	0.326785	0.254411					-73.626016	3.864080	45.754411	47.917024	59.905896	0.608921
dji_0125.jpg	-73.625988	3.864063	45.600000				0.995632	0.812498	0.521383	0.243496					-73.625980	3.864067	45.843496	29.638265	60.061442	0.120223
dji_0126.jpg	-73.625956	3.864055	45.600000				0.756279	0.682297	0.311330	0.097480					-73.625949	3.864058	45.697480	7.278704	60.109246	-0.621607
dji_0127.jpg	-73.625911	3.864058	45.600000				1.310048	0.901977	0.949985	-0.013809					-73.625902	3.864067	45.586191	337.910759	59.730035	-1.440061
dji_0128.jpg	-73.625883	3.864059	45.600000				0.445298	0.160559	0.383947	0.158416					-73.625882	3.864063	45.758416	323.926918	59.518927	-0.982986
dji_0129.jpg	-73.625835	3.864114	45.700000				0.551330	-0.533270	0.139699	-0.008499					-73.625840	3.864115	45.691501	288.539486	59.329700	-0.351876
dji_0130.jpg	-73.625837	3.864127	45.700000				1.230096	-0.879459	-0.811359	0.285280					-73.625845	3.864120	45.985280	296.856448	59.193876	0.413711
dji_0131.jpg	-73.625854	3.864128	45.700000				1.082362	-0.791504	-0.726285	0.132429					-73.625861	3.864121	45.832429	292.303771	59.131753	0.042617
dji_0132.jpg	-73.625859	3.864099	45.600000				0.394825	-0.332577	-0.207832	0.045662					-73.625862	3.864097	45.645662	300.838643	59.221784	-0.480927
dji_0133.jpg	-73.625840	3.864071	45.400000				0.666942	-0.451573	0.265649	-0.412704					-73.625845	3.864074	44.987296	307.729116	59.292898	-0.847158
dji_0134.jpg	-73.625839	3.864072	43.100000				0.607833	-0.539274	0.211395	-0.184271					-73.625844	3.864074	42.915729	311.815484	59.395764	-1.553618
dji_0135.jpg	-73.625839	3.864072	40.300000				0.630716	-0.463581	0.253449	-0.344469					-73.625843	3.864074	39.955531	313.424830	59.471456	-1.636642
dji_0136.jpg	-73.625839	3.864074	38.500000				0.627460	-0.386157	0.472171	0.147118					-73.625842	3.864079	38.647118	300.566032	59.239857	-2.030481
dji_0137.jpg	-73.625805	3.864118	38.700000				1.086847	-0.399530	1.007404	-0.082146					-73.625809	3.864127	38.617854	279.467405	58.770041	-2.054920
dji_0138.jpg	-73.625803	3.864209	38.500000				1.108009	-1.046483	0.363526	-0.020191					-73.625812	3.864212	38.479809	245.392272	58.195858	-1.761499
dji_0139.jpg	-73.625830	3.864266	38.600000				1.192815	-1.191780	0.004926	-0.049443					-73.625840	3.864266	38.550557	218.337467	58.017027	-1.206695
dji_0140.jpg	-73.625900	3.864313	38.600000				1.486216	-1.362745	-0.592198	-0.032629					-73.625912	3.864308	38.567371	192.902452	57.986140	-0.435817
dji_0141.jpg	-73.625963	3.864323	38.500000				1.472408	-0.681963	-1.286747	0.217243					-73.625969	3.864312	38.717243	171.505608	58.187818	0.121474
dji_0142.jpg	-73.626007	3.864305	38.600000				1.528434	-0.485099	-1.435664	0.199143					-73.626012	3.864292	38.799143	152.740013	58.501971	0.556738
dji_0143.jpg	-73.626053	3.864260	38.700000				1.416449	0.039292	-1.415748	-0.021032					-73.626053	3.864247	38.678968	129.877785	58.837262	0.597673
dji_0144.jpg	-73.626079	3.864203	38.700000				0.961498	0.711621	-0.636717	-0.112534					-73.626073	3.864197	38.587466	103.704800	59.174610	0.372962
